,product_image,product_name,product_price,product_discount,product_after_discount,product_rating,service
10,https://media.dekoruma.com/catalogue/NRA-375708.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio DAITO Sofabed,"Rp3,381,000",39%,"Rp2,029,000",['2611'],se-Jabodetabek
11,https://media.dekoruma.com/catalogue/NRA-401494.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio DAITO Sofabed Abu-abu,"Rp3,381,000",39%,"Rp2,029,000",['1580'],se-Jabodetabek
12,https://media.dekoruma.com/catalogue/NRA-375707.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio DAITO Stool Biru,"Rp729,000",17%,"Rp599,000",['1533'],se-Jabodetabek
13,https://media.dekoruma.com/catalogue/NRA-394714.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio HIKI Sofa 2 Seater,"Rp5,900,000",32%,"Rp3,999,000",['912'],se-Jabodetabek
14,https://media.dekoruma.com/catalogue/NRA-375719.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio EITO Sofa 2 Seater Krem,"Rp4,633,000",44%,"Rp2,589,000",['543'],se-Jabodetabek
15,https://media.dekoruma.com/catalogue/NRA-375710.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio Sofa Eito 2 seater Abu Tua,"Rp4,633,000",44%,"Rp2,589,000",['535'],se-Jabodetabek
16,https://media.dekoruma.com/catalogue/NRA-414220.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio SHINO Sofa Bed,"Rp4,332,000",34%,"Rp2,849,000",['444'],se-Jabodetabek
17,https://media.dekoruma.com/catalogue/NRA-380218.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio MICHI Sofa 3 Seater Krem,"Rp7,927,000",34%,"Rp5,199,000",['709'],se-Jabodetabek
18,https://media.dekoruma.com/catalogue/NRA-379704.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio MICHI Sofa 2 Seater Krem,"Rp6,307,000",32%,"Rp4,249,000",['480'],se-Jabodetabek
19,https://media.dekoruma.com/catalogue/NRA-388298.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio JUN Sofa 2 Seater Hijau,"Rp5,292,000",41%,"Rp3,109,000",['384'],se-Jabodetabek
